# 片1·良心面试 · 原片台词 100% 抄写对齐表

原片时长 286.13s → 20 镜 × 14.31s 覆盖窗；逐词 1534 个，原文 1696 字。

**逐字完整性**：拼接结果与原转写完全一致 ✓（1696 / 1696 字）

| 镜 | 生成窗 | 原片时间窗 | 字数 | 原文（逐字） |
| 11 | 150.0–165.0s | 2:23.07–2:37.37 | 100 | 高经验也足我真的适合这个岗位我们公司不缺会写简历的人缺的是有良心的人顾董我刚才真的不知道你是董事长我知道你如果知道也就测不出真心了那我刚才把自己的饭给您吃会不会不太礼貌那不是不礼貌那是你愿意把自己的午 |
| 12 | 165.0–180.0s | 2:37.37–2:51.68 | 91 | 饭分给一个陌生老人比任何面试回答都珍贵谢谢顾董林婉晴你今天的人品这一关过了那我的面试你应聘的是公司食堂厨师助理光心扇还不够手艺也得过关你刚才那块红烧排骨我还没吃够去公司食堂厨房完整做 |
| 13 | 180.0–195.0s | 2:51.68–3:05.99 | 106 | 一次给我看好顾董我平时自己带饭就是因为家里这边远今天正好带了常用的红烧酱料我现场做一锅给您馋了顾董今天我就用食堂的电饭锅给您做一道上排骨省事还不弄得满身油烟顾董家人们别再拿老一套方法做红烧排骨了每天下班回家累得骨 |
| 14 | 195.0–210.0s | 3:05.99–3:20.29 | 93 | 头都快散着想吃口硬菜一想到要在闷热的厨房里切葱姜蒜忍着热气炒汤色吃完还得刷那口油腻腻的炒锅和灶台瞬间就想点外卖了对不对今天我要彻底颠覆你的做饭体验只要你家里有个电饭锅这道饭店级别的软烂红 |
| 15 | 210.0–225.0s | 3:20.29–3:34.60 | 85 | 烧排骨闭着眼睛都能做成家里那些落灰的八角鬼皮酱油老抽统统靠边站排骨冷水下锅焯水捞出来用温水洗净直接扔进电饭锅里然后重点来了直接撕开一包这个爆汁红烧酱料倒进去这里面是大厨给 |
| 16 | 225.0–240.0s | 3:34.60–3:48.91 | 77 | 你调配好的黄金比例加半碗清水盖上盖子按下煮饭键搞定就这么简单对接下来你就可以彻底离开厨房了不用吸油烟不用盯火候你去叔叔服洗个澡服个面膜刷两极具听到电饭锅一 |
| 17 | 240.0–255.0s | 3:48.91–4:03.21 | 80 | 声直接开饭您看这出锅的色泽排骨吸满了浓郁的酱汁筷子一戳直接脱骨还真是一戳就脱骨关键是吃完只用洗一个电饭锅内躺简直是咱们懒人和上班族的厨房之光他配料表干干净净家里 |
| 18 | 255.0–270.0s | 4:03.21–4:17.52 | 95 | 老人小孩甚至孕期嘴馋想吃点红烧口味的也能放心吃拿他做红烧肉红烧鱼炖鱼羊肉一包全部搞定平时去超市买这么一包少说也要七八块今天在我们这里点击左下角九块九直接到手五包还没完现在拼手速下单的我再自掏 |
| 19 | 270.0–285.0s | 4:17.52–4:31.83 | 45 | 腰包多送你两包九块九整整七包给你包邮到家折算下来一块多钱就能解决一顿大餐的调味告别满身油烟 |
| 20 | 285.0–300.0s | 4:31.83–4:46.13 | 94 | 今天你先用一份饭救了一个老人又用一道菜证明了手艺一个人能不能留下不只看简历家人们你们说说我一个董事长坐轮椅摔在后门测试员工是不是太现实了可做食品的人手艺可以慢慢练产品可以慢慢学良心不能没有 |
