镜号,开始,结束,时长,字数,台词,句号
30,65.083,66.833,1.75,10,轮椅那就更得请人照顾,15
31,66.833,71.583,4.75,29,我不可能给别人孩子当免费保姆也不可能让一个坐轮椅的孩子拖累,16
32,71.583,73.167,1.584,9,我的后半生你不是来,"16,17"
33,73.167,74,0.833,5,相亲的那我,17
34,74,77.083,3.083,17,是什么你是来做账的现实一点有错你带,"17,18,19"
35,77.083,79.75,2.667,13,着种孩子本来就多补偿我不在,19
36,79.75,81.75,2.0,3,意慢点,"19,20"
37,81.75,83.75,2.0,7,门口有台阶别坑,20
38,83.75,86.917,3.167,3,孩子小,"20,21"
39,86.917,90.583,3.666,19,朋友冷不冷坐久了腿会不舒服吧阿姨给你拿,"21,22"
40,90.583,92.75,2.167,12,个软垫阿姨你不嫌我麻烦吗,22
41,92.75,94.583,1.833,9,你这么可爱哪里麻烦,23
42,94.583,96.667,2.084,11,了小孩来吃饭阿姨高兴还,"23,24"
43,96.667,97.833,1.166,7,来不及想吃什么,24
44,97.833,99.5,1.667,8,阿姨给你做阿姨我,"25,26"
45,99.5,102.083,2.583,15,想吃红烧排骨不用已经很麻烦你了,26
46,102.083,105.833,3.75,22,红烧排骨又要焯水炒糖色看火太费时了现在做红烧,"27,28"
47,105.833,108.167,2.334,13,排骨哪有麻烦别再用老一套方,28
48,108.167,110.667,2.5,15,法做红烧排骨了每天上班累的骨头,"28,29"
49,110.667,112.583,1.916,11,都快散架回家想吃口硬菜,29
50,112.583,113.75,1.167,7,可以想到还要在,29
51,113.75,117.667,3.917,25,闷热厨房里切葱姜蒜忍着油烟炒糖色稍不注意油花4溅烫,29
52,117.667,122.333,4.666,25,到手吃完还得刷油腻腻的炒锅和灶台是不是瞬间就想点外,"29,30"
53,122.333,123.333,1.0,6,卖今天我就让,"30,31"
54,123.333,125.333,2.0,12,你看看红烧排骨还能这么简,31
55,125.333,126.5,1.167,7,单只要家里有个,"31,32"
56,126.5,130.833,4.333,25,电饭锅饭店级别的软烂红烧排骨闭着眼睛都能做出来家里,"32,33"
57,130.833,131.5,0.667,4,那些落灰,33
58,131.5,132.833,1.333,8,的八角桂皮酱油老,33
59,132.833,133.583,0.75,4,抽通通先,33
60,133.583,134.5,0.917,5,靠边蘸排骨,33
61,134.5,137.667,3.167,19,冷水下锅焯水捞出来用温水洗干净直接放进,33
62,137.667,138.833,1.166,7,电煲锅里重点来,"33,34"
63,138.833,139.583,0.75,4,了撕开这,34
64,139.583,145.167,5.584,33,一包爆汁红烧酱料直接倒进去这里面是大厨调好的黄金比例咸淡上色香味都,34
65,145.167,146.583,1.416,8,配好了根本不用你,34
66,146.583,148.667,2.084,12,再开少许到底是多少再加半,34
67,148.667,149.667,1.0,6,碗清水盖上盖,34
68,149.667,150.417,0.75,4,子按下煮,34
69,150.417,151.667,1.25,8,饭键搞定接下来你,"34,35"
70,151.667,157,5.333,31,就可以离开厨房了不用吸油烟不用守着火你去洗个澡敷个面膜刷两集句,35
71,157,158.583,1.583,9,都行等电饭煲叮的一,"35,36"
72,158.583,160.833,2.25,13,声直接开饭你看这出锅的颜色,"36,37"
73,160.833,163.5,2.667,16,不加一滴老抽照样红亮诱人排骨吸满,"37,38"
74,163.5,167.833,4.333,26,浓郁酱汁筷子轻轻一戳就脱骨软烂入味特别下饭关键是吃完,"38,39"
75,167.833,170,2.167,13,只用洗一个电或内凉不用刷炒,39
76,170,171.167,1.167,7,锅不用擦满是有,39
77,171.167,172.417,1.25,7,点的灶台简直就,39
78,172.417,174.667,2.25,13,是懒人和上班族的厨房之光而,"39,40"
79,174.667,175.917,1.25,8,且它配料表干净最,40
80,175.917,178.833,2.916,17,重要的是零蔗糖家里老人小孩都能安心,40
81,178.833,183.25,4.417,26,吃除了红烧排骨拿它做红烧肉红烧鱼炖牛肉炖羊肉也都可以,"40,41"
82,183.25,186.833,3.583,22,一包就能搞定一锅硬菜真正的万能红烧调料平时去,41
83,186.833,191.167,4.334,25,买这么一包少说也要七八块今天在我们这里直接把底价打,"41,42"
84,191.167,196.917,5.75,35,穿点击左下角9.9块直接到手五包还没完现在拼手速下单的我在自掏腰包多送,"42,43"
85,196.917,200.083,3.166,20,你两包也就是说9.9块整整7包直接包邮到,"43,44"
86,200.083,203.167,3.084,18,家折算下来一块多钱就能解决一顿大餐的,"44,45"
87,203.167,206.25,3.083,19,调味告别满身油烟零厨艺也能轻松做出大厨,45
88,206.25,207.5,1.25,7,卫现货库存马上,"45,46"
89,207.5,208.667,1.167,7,见底赶紧点击左,46
90,208.667,210.5,1.833,10,角头像抢单带回家爸爸,"46,47"
91,210.5,211.75,1.25,6,好香慢点吃锅,47
92,211.75,213,1.25,5,里还有顾总,"47,48"
93,213,217.583,4.583,21,董事会那边已经等您半个小时了合同需要您亲自,48
94,217.583,218.833,1.25,3,签顾总,"48,49"
95,218.833,219.75,0.917,5,你是宏盛集,49
96,219.75,221.333,1.583,9,团的顾晨洲你刚才不,49
97,221.333,223.083,1.75,10,是说你普通上班吗我从,"49,50"
98,223.083,224.333,1.25,7,来没说过我普通,50
99,224.333,225.667,1.334,8,是你们只看我穿的,50
100,225.667,228.917,3.25,19,普通顾总刚才是误会我不是嫌孩子我是怕她,"50,51"
101,228.917,231.583,2.666,15,不舒服对啊我也是替你考虑毕竟孩,"51,52"
102,231.583,232.75,1.167,7,子以后需要规划,52
103,232.75,236.333,3.583,21,不用你们规划我腿没事是爸爸想看看谁真心喜欢,"52,53"
104,236.333,237.5,1.167,4,我我儿子,"53,54"
105,237.5,238.583,1.083,6,腿没问题有问,54
106,238.583,240.833,2.25,12,题的是你们的人品顾总我其,"54,55"
107,240.833,242.25,1.417,7,实也很喜欢孩子,55
108,242.25,243.75,1.5,8,我也可以学着照顾,55
109,243.75,244.417,0.667,4,他晚了你,"55,56"
110,244.417,246.417,2.0,10,们刚才嫌弃她的样子她,56
111,246.417,248.083,1.666,9,都记得那你坐了一上,"56,57"
112,248.083,250.5,2.417,13,午腿麻麻阿姨你不怪我骗你吗,57
113,250.5,251.667,1.167,6,能走是好事儿,58
114,251.667,254,2.333,12,可就算你真的坐轮椅阿姨也,58
115,254,256.167,2.167,8,不会嫌你你知道我,"58,59"
116,256.167,257.833,1.666,11,是谁以后不生气吗生气你,"59,60,61"
117,257.833,262,4.167,28,们试探我但不生孩子的气他只是想知道以后会不会有人真的疼她,"61,62"
118,262,264.5,2.5,17,今天是我做的不对不该让孩子陪我演这,63
119,264.5,268,3.5,23,场戏可我更怕有一天把她交给一个表面温柔背后嫌弃,63
120,268,269.667,1.667,11,她的人阿姨那你会疼我吗,"63,64"
121,269.667,273.75,4.083,28,会小孩不是负担是应该被好好照顾的人今天我看清了有人看见轮,"65,66,67"
122,273.75,278.583,4.833,32,椅只觉得丢人有人看见孩子只想分财产只有你先问她冷不冷落不饿我不懂,"67,68"
123,278.583,281.583,3.0,20,你们有钱人的规矩我只知道孩子进了我的店就,68
124,281.583,282.667,1.084,7,得吃上一口热饭,68
125,282.667,284.25,1.583,11,爸爸我喜欢这个阿姨爸爸,69
126,284.25,285,0.75,5,也喜欢屏幕,69
127,285,290.417,5.417,36,前的家人们钱能使出贪心落魄能使出真心孩子最能使出一个人骨子里的善良真正能,"69,70,71"
128,290.417,296.933,6.516,43,走进一个家的不是最会算条件的人而是在孩子最需要温暖的时候愿意给他一碗热饭的人你们说对吗,"71,72"
