镜号,开始,结束,时长,字数,台词,句号
62,139.667,143.833,4.166,27,顾董再给我一次机会吧顾董我学历很高经验也足我真的适合这,"41,42"
63,143.833,145.083,1.25,8,个岗位我们公司不,"42,43"
64,145.083,146.833,1.75,11,缺会写简历的人缺的是有,43
65,146.833,148.167,1.334,9,良心的人顾董我刚才,"43,44"
66,148.167,149.917,1.75,11,真的不知道你是董事长我,44
67,149.917,152.417,2.5,16,知道你如果知道也就测不出真心了那,"44,45"
68,152.417,161.667,9.25,62,我刚才把自己的饭给您吃会不会不太礼貌那不是不礼貌那是你愿意把自己的午饭分给一个陌生老人比任何面试回答都珍贵谢谢顾董林婉晴你今,"45,46,47,48"
69,161.667,164.083,2.416,16,天的人品这一关过了那我的面试你应,48
70,164.083,168.583,4.5,29,聘的是公司食堂厨师助理光心善还不够手艺也得过关你刚才那块红,"48,49"
71,168.583,172.917,4.334,29,烧排骨我还没吃够去公司食堂厨房完整做一次给我看好顾董我平时,"49,50"
72,172.917,177.333,4.416,30,自己带饭就是因为家离这边远今天正好带了常用的红烧酱料我现场做,50
73,177.333,181.833,4.5,30,一锅给您尝了顾董今天我就用食堂的电饭锅给您做一道上排骨省事儿,"50,51"
74,181.833,184.667,2.834,18,还不弄得满身油烟顾董家人们别再拿老一,"51,52"
75,184.667,187.5,2.833,19,套方法做红烧排骨了每天下班回家累的骨头,52
76,187.5,189,1.5,10,都快散架想吃口硬菜一,52
77,189,190.75,1.75,12,想到要在闷热的厨房里切葱,52
78,190.75,196,5.25,35,姜蒜忍着热气炒糖色吃完还得刷那口油腻腻的炒锅和灶台瞬间就想点外卖了对不,52
79,196,198.333,2.333,15,对今天我要彻底颠覆你的做饭体验,"52,53"
80,198.333,210.333,12.0,79,只要你家里有个电饭锅这道饭店级别的软烂红烧排骨闭着眼睛都能做成家里那些落灰的八角鬼皮酱油老抽统统靠边站排骨冷水下锅焯水捞出来用温水洗净直接扔进电饭锅里然后重点,"53,54,55,56"
81,210.333,212.5,2.167,13,来了直接撕开一包这个爆汁红,56
82,212.5,214.25,1.75,10,烧酱料倒进去这里面是,56
83,214.25,217.333,3.083,18,大厨给你调配好的黄金比例加半碗清水盖,56
84,217.333,218.333,1.0,5,上盖子按下,56
85,218.333,220.167,1.834,11,煮饭键搞定就这么简单对,"56,57"
86,220.167,221.167,1.0,6,接下来你就可,57
87,221.167,227.417,6.25,36,以彻底离开厨房了不用吸油烟不用叮火后你去舒舒服洗个澡敷个面膜刷两集句听到,"57,58"
88,227.417,228.167,0.75,4,电饭锅一,58
89,228.167,229.833,1.666,10,声直接开饭您看这出锅,58
90,229.833,231.917,2.084,12,的色泽排骨吸满了浓郁的酱,58
91,231.917,236.75,4.833,27,汁筷子一戳直接脱骨还真是一戳就脱骨关键是吃完只用洗一个,58
92,236.75,239.333,2.583,15,电饭锅内躺简直是咱们懒人和上班,58
93,239.333,242.25,2.917,17,族的厨房之光它配料表干干净净家里老,"58,59"
94,242.25,243,0.75,4,人小孩甚,59
95,243,246.417,3.417,20,至孕期嘴馋想吃点红烧口味的也能放心吃拿它,"59,60"
96,246.417,249.333,2.916,17,做红烧肉红烧鱼炖驴让肉一包全部搞定,60
97,249.333,254.167,4.834,27,平时去超市买这么一包少说也要七八块今天在我们这里点击左,"61,62"
98,254.167,255.083,0.916,7,下角9.9块直,62
99,255.083,260.167,5.084,31,接到手五包还没完现在拼手速下单的我再自掏腰包多送你两包9.9块,"62,63"
100,260.167,261.167,1.0,5,整整七包给,63
101,261.167,264.917,3.75,21,你包邮到家折算下来一块多钱就能解决一顿大餐,"63,64"
102,264.917,265.667,0.75,5,的调味告别,64
103,265.667,266.333,0.666,3,满身油,64
104,266.333,267.833,1.5,9,烟零厨艺也能轻松做,64
105,267.833,269.667,1.834,11,大厨现货库存马上见底赶,"64,65"
106,269.667,271.167,1.5,9,紧点击左下角头像抢,65
107,271.167,272.333,1.166,8,单带回家今天你先,"65,66"
108,272.333,274.25,1.917,13,用一份饭救了一个老人又用一,66
109,274.25,275.75,1.5,10,道菜证明了手艺一个人,66
110,275.75,277.083,1.333,8,能不能留下不只看,66
111,277.083,278,0.917,6,简历家人们你,"66,67"
112,278,282.417,4.417,29,们说说我一个董事长坐轮椅摔在后门测试员工是不是太现实了可做,"67,68"
113,282.417,286.133,3.716,24,食品的人手艺可以慢慢练产品可以慢慢学良心不能没有,68
